District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01,2011-12,13020,1131,958,1025,1016,917,860,886,943,858,836,888,1053,888,761,6493,0.49869433,6527,0.501305699,3029,0.232642084,2251,0.172887862,5504,0.422734261,205,0.015745008,2031,0.155990779,2312,0.177572966,1512,0.116129033,9346,0.717818737
01,2012-13,12813,1109,937,942,984,977,907,809,862,908,854,842,1109,812,761,6322,0.493405133,6491,0.506594837,2944,0.229766637,2199,0.171622574,5352,0.417700768,262,0.020447982,2056,0.160462037,2459,0.191914469,1386,0.108171389,9010,0.703192055
01,2013-14,12492,985,942,927,882,947,943,858,749,848,898,725,1129,907,752,6167,0.493675947,6325,0.506324053,2868,0.229586929,2162,0.173070759,5110,0.40906179,307,0.024575729,2045,0.163704768,2585,0.20693244,1306,0.104546912,8871,0.710134506
01,2014-15,12316,1106,901,934,897,871,920,912,826,743,844,659,983,890,830,6040,0.490418971,6276,0.509581029,2812,0.228320882,2083,0.16912958,5039,0.409142584,302,0.024520949,2080,0.168886006,2550,0.207047746,1200,0.09743423,8697,0.706154585
01,2015-16,12009,842,905,912,899,858,849,904,854,825,798,660,974,862,867,5873,0.489049882,6136,0.510950148,2565,0.213589802,2027,0.168790072,5024,0.418352902,328,0.027312849,2065,0.171954364,2449,0.203930393,1092,0.090931803,8332,0.693812966
02,2011-12,62319,1394,3107,3002,2782,2652,2516,2373,2441,2286,2331,10391,10610,8666,7768,32574,0.522697747,29745,0.477302253,14623,0.234647542,11347,0.1820793,21904,0.351481885,1169,0.018758325,13276,0.213032946,8729,0.140069649,6964,0.111747622,39672,0.636595607
02,2012-13,62757,1321,3287,3116,2928,2700,2645,2477,2316,2411,2283,10523,10042,8652,8056,32990,0.525678396,29767,0.474321604,14635,0.233201072,11054,0.176139712,21707,0.345889688,1497,0.023853913,13864,0.220915601,9036,0.143983945,6704,0.106824733,39698,0.632566869
02,2013-14,62741,1348,3113,3213,3031,2852,2665,2608,2406,2325,2473,9994,10030,8415,8268,32842,0.523453534,29899,0.476546437,14688,0.234105289,10796,0.172072485,21226,0.338311464,1731,0.027589614,14300,0.227921143,9506,0.151511773,6361,0.101385057,38972,0.621156812
02,2014-15,62854,1642,3139,3068,3086,2901,2845,2584,2494,2390,2319,10124,9706,8599,7957,32917,0.523705721,29937,0.476294279,14595,0.232204795,10299,0.163855925,21067,0.335173577,2039,0.03244026,14854,0.236325458,9793,0.155805513,5776,0.091895506,38048,0.605339348
02,2015-16,63493,2307,3012,2966,2909,2966,2886,2762,2558,2462,2412,9971,9765,8239,8278,33244,0.52358526,30249,0.47641471,14707,0.23163183,10003,0.157544926,20921,0.329500884,2406,0.03789394,15456,0.243428409,10077,0.158710405,5203,0.081946038,37389,0.588868082
03,2011-12,23157,966,1537,1513,1574,1373,1460,1435,1425,1364,1313,2649,2572,2174,1802,12415,0.536122978,10742,0.463877022,1770,0.076434769,6506,0.280951768,8068,0.348404378,457,0.019734854,6356,0.274474233,3263,0.14090772,1649,0.071209572,13909,0.600639105
03,2012-13,23119,853,1540,1503,1484,1569,1357,1438,1396,1415,1357,2399,2551,2223,2034,12304,0.532202959,10815,0.467797041,1784,0.077165969,6115,0.264501065,8092,0.350015134,510,0.022059778,6618,0.286258042,3395,0.146848917,1472,0.063670576,12825,0.554738522
03,2013-14,23098,860,1483,1532,1391,1457,1489,1334,1432,1371,1427,2467,2444,2310,2101,12307,0.532816708,10791,0.467183292,1809,0.078318469,5825,0.252186328,8106,0.350939482,691,0.029916011,6667,0.288639694,3634,0.157329634,1394,0.060351547,12730,0.551129997
03,2014-15,22920,986,1507,1501,1432,1356,1423,1456,1351,1390,1354,2290,2473,2135,2266,12266,0.535165787,10654,0.464834213,1786,0.077923208,5476,0.238917977,7947,0.346727759,838,0.036561955,6873,0.29986912,3806,0.166055843,1267,0.055279233,12268,0.535253048
03,2015-16,22866,1106,1476,1511,1447,1401,1293,1398,1469,1333,1371,2377,2436,2164,2084,12245,0.535511255,10621,0.464488775,1766,0.077232569,5326,0.232922241,7742,0.338581294,972,0.042508528,7060,0.308755368,3689,0.161331236,1179,0.05156127,11291,0.493789911
