Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
01,2013-14,12492,985,942,927,882,947,943,858,749,848,898,725,1129,907,752,6167,0.493675947,6325,0.506324053,2868,0.229586929,2162,0.173070759,5110,0.40906179,307,0.024575729,2045,0.163704768,2585,0.20693244,1306,0.104546912,8141,0.651697099,
01,2014-15,12316,1106,901,934,897,871,920,912,826,743,844,659,983,890,830,6040,0.490418971,6276,0.509581029,2812,0.228320882,2083,0.16912958,5039,0.409142584,302,0.024520949,2080,0.168886006,2550,0.207047746,1200,0.09743423,7911,0.642335176,0.621343374
01,2015-16,12009,842,905,912,899,858,849,904,854,825,798,660,974,862,867,5873,0.489049882,6136,0.510950148,2565,0.213589802,2027,0.168790072,5024,0.418352902,328,0.027312849,2065,0.171954364,2577,0.214589059,1092,0.090931803,7556,0.629194796,0.614338398
01,2016-17,11772,827,850,907,889,859,834,808,828,833,836,675,988,817,821,5748,0.488277256,6024,0.511722744,2594,0.22035338,1901,0.161484882,4855,0.412419289,363,0.030835882,2059,0.174906552,2555,0.217040434,1065,0.090468906,7265,0.617142379,0.602732599
01,2017-18,11632,800,851,846,854,862,839,813,786,798,843,729,959,905,747,5590,0.480570853,6042,0.519429147,2517,0.216385826,1800,0.154745534,4887,0.420134127,406,0.034903713,2022,0.173830807,2446,0.210281983,1013,0.087087348,7547,0.648813605,0.662586749
02,2013-14,62741,1348,3113,3213,3031,2852,2665,2608,2406,2325,2473,9994,10030,8415,8268,32842,0.523453534,29899,0.476546437,14688,0.234105289,10796,0.172072485,21226,0.338311464,1731,0.027589614,14300,0.227921143,9506,0.151511773,6361,0.101385057,35468,0.565308154,
02,2014-15,62854,1642,3139,3068,3086,2901,2845,2584,2494,2390,2319,10124,9706,8599,7957,32917,0.523705721,29937,0.476294279,14595,0.232204795,10299,0.163855925,21067,0.335173577,2039,0.03244026,14854,0.236325458,9793,0.155805513,5776,0.091895506,34361,0.546679616,0.500681996
02,2015-16,63493,2307,3012,2966,2909,2966,2886,2762,2558,2462,2412,9971,9765,8239,8278,33244,0.52358526,30249,0.47641471,14707,0.23163183,10003,0.157544926,20921,0.329500884,2406,0.03789394,15456,0.243428409,10437,0.164380327,5254,0.082749277,33540,0.528247237,0.486240059
02,2016-17,63805,2526,3051,2913,2832,2803,2935,2770,2671,2527,2478,10188,9404,8654,8053,33447,0.524206579,30357,0.475777775,14558,0.228163943,9837,0.154172868,20712,0.324614048,2749,0.043084398,15949,0.249964729,10655,0.166993186,5462,0.085604578,32855,0.514928281,0.472407609
02,2017-18,63497,2558,3193,2961,2873,2750,2777,2864,2743,2580,2548,9515,9609,8353,8173,33172,0.52241838,30316,0.47743988,14213,0.223837346,9391,0.147896752,20623,0.324786991,2910,0.045828938,16360,0.257649958,10529,0.165818855,5348,0.084224455,34183,0.53834039,0.535971224
